Match Num,Home,Away,Group,Winner
1,Senegal,Netherlands,A,
2,England,Iran,B,
3,Qatar,Ecuador,A,
4,United_States,Wales,B,
5,Argentina,Saudi_Arabia,C,
6,Denmark,Tunisia,D,
7,Mexico,Poland,C,
8,France,Australia,D,
9,Morocco,Croatia,F,
10,Germany,Japan,E,
11,Spain,Costa_Rica,E,
12,Belgium,Canada,F,
13,Switzerland,Cameroon,G,
14,Uruguay,South_Korea,H,
15,Portugal,Ghana,H,
16,Brazil,Serbia,G,
17,Wales,Iran,B,
18,Qatar,Senegal,A,
19,Netherlands,Ecuador,A,
20,England,United_States,B,
21,Tunisia,Australia,D,
22,Poland,Saudi_Arabia,C,
23,France,Denmark,D,
24,Argentina,Mexico,C,
25,Japan,Costa_Rica,E,
26,Belgium,Morocco,F,
27,Croatia,Canada,F,
28,Spain,Germany,E,
29,Cameroon,Serbia,G,
30,South_Korea,Ghana,H,
31,Brazil,Switzerland,G,
32,Portugal,Uruguay,H,
33,Ecuador,Senegal,A,
34,Netherlands,Qatar,A,
35,Iran,United_States,B,
36,Wales,England,B,
37,Tunisia,France,D,
38,Australia,Denmark,D,
39,Poland,Argentina,C,
40,Saudi_Arabia,Mexico,C,
41,Canada,Morocco,F,
42,Croatia,Belgium,F,
43,Costa_Rica,Germany,E,
44,Japan,Spain,E,
45,Ghana,Uruguay,H,
46,South_Korea,Portugal,H,
47,Cameroon,Brazil,G,
48,Serbia,Switzerland,G,
49,,,R16,
50,,,R16,
51,,,R16,
52,,,R16,
53,,,R16,
54,,,R16,
55,,,R16,
56,,,R16,
57,,,QF,
58,,,QF,
59,,,QF,
60,,,QF,
61,,,SF,
62,,,SF,
63,,,3P,
64,,,Final,
