Date,Opponent,Location,USMNT Pre-Match Elo,USMNT Post-Match Elo,Opp Pre-Match Elo,Elo Diff,Modified Elo,GF,GA,GD,xGF,xGA,xGD,A Team?,Pulisic MP,McKennie MP,Adams MP,Gio MP,Dest MP,Musah MP
45375,Mexico,1,1774,1800,1826,-52,48,2,0,2,,,,Y,90,90,45,79,0,11
45372,Jamaica,1,1762,1774,1623,139,239,3,1,2,2.1,0.9,1.2,Y,120,120,37,74,90,63
45311,Slovenia,1,1776,1762,1710,66,166,0,1,-1,,,,N,0,0,0,0,0,0
45251,Trinidad and Tobago,-1,1810,1776,1398,412,312,1,2,-1,,,,Y,0,0,0,42,39,90
45246,Trinidad and Tobago,1,1806,1810,1402,404,504,3,0,3,2,0.02,1.98,Y,0,90,0,90,90,90
45216,Ghana,1,1801,1806,1584,217,317,4,0,4,1.74,0.9,0.84,Y,45,45,0,45,90,75
45213,Germany,1,1817,1801,1903,-86,14,1,3,-2,0.26,3.15,-2.89,Y,75,74,0,45,90,90
45181,Oman,1,1812,1817,1578,234,334,4,0,4,1.63,0.16,1.47,Y,45,90,0,0,76,90
45178,Uzbekistan,1,1807,1812,1602,205,305,3,0,3,2.5,0.75,1.75,N,90,81,0,0,90,90
45119,Panama,1,1821,1807,1693,128,228,1,1,0,1.55,1.45,0.1,N,0,0,0,0,0,0
45116,Canada,1,1835,1821,1723,112,212,2,2,0,2.85,0.95,1.9,N,0,0,0,0,0,0
45109,Trinidad and Tobago,1,1831,1835,1376,455,555,6,0,6,2.51,1.07,1.44,N,0,0,0,0,0,0
45105,Saint Kitts and Nevis,1,1830,1831,1179,651,751,6,0,6,3.91,0.36,3.55,N,0,0,0,0,0,0
45101,Jamaica,1,1851,1830,1529,322,422,1,1,0,,,,Y,0,0,0,0,0,0
45095,Canada,1,1835,1851,1758,77,177,2,0,2,,,,Y,90,0,0,45,0,90
45092,Mexico,1,1810,1835,1803,7,107,3,0,3,,,,N,89,71,0,75,0,90
45035,Mexico,1,1813,1810,1803,10,110,1,1,0,,,,Y,0,0,0,0,85,0
45012,El Salvador,1,1810,1813,1474,336,436,1,0,1,,,,Y,90,90,0,72,90,72
45009,Grenada,-1,1807,1810,1113,694,594,7,1,6,,,,N,64,57,0,64,0,33
44954,Colombia,1,1807,1807,1919,-112,-12,0,0,0,,,,N,0,0,0,0,0,0
44951,Serbia,1,1819,1807,1835,-16,84,1,2,-1,,,,Y,0,0,0,0,0,0
44898,Netherlands,0,1840,1819,2047,-207,-207,1,3,-2,,,,Y,90,67,90,45,75,90
44894,"Iran, Islamic Republic of",0,1810,1840,1809,1,1,1,0,1,,,,Y,45,65,90,0,82,90
44890,England,0,1797,1810,1957,-160,-160,0,0,0,,,,Y,90,77,90,7,78,90
44886,Wales,0,1798,1797,1792,6,6,1,1,0,,,,Y,90,66,90,0,74,75
44831,Saudi Arabia,0,1803,1798,1627,176,176,0,0,0,,,,Y,76,76,90,30,90,0
44827,Japan,0,1820,1803,1780,40,40,0,2,-2,,,,Y,0,67,90,45,45,0
44726,El Salvador,-1,1832,1820,1490,342,242,1,1,0,,,,Y,90,45,80,0,0,90
44722,Grenada,1,1831,1832,1136,695,795,5,0,5,,,,Y,0,45,0,0,0,0
44717,Uruguay,1,1831,1831,1937,-106,-6,0,0,0,,,,Y,90,45,90,0,0,85
44713,Morocco,1,1822,1831,1738,84,184,3,0,3,,,,Y,65,18,66,0,0,90
44650,Costa Rica,-1,1856,1822,1708,148,48,0,2,-2,,,,Y,84,0,45,29,0,90
44647,Panama,1,1846,1856,1592,254,354,5,1,4,,,,Y,71,0,71,45,0,45
44644,Mexico,-1,1840,1846,1844,-4,-104,0,0,0,,,,Y,84,0,80,30,0,90
44594,Honduras,1,1836,1840,1441,395,495,3,0,3,,,,Y,26,84,0,0,0,0
44591,Canada,-1,1863,1836,1800,63,-37,0,2,-2,,,,Y,90,90,69,0,76,76
44588,El Salvador,1,1860,1863,1500,360,460,1,0,1,,,,N,65,90,90,0,90,89
44548,Bosnia and Herzegovina,1,1858,1860,1602,256,356,1,0,1,,,,Y,0,0,0,0,0,0
44516,Jamaica,-1,1868,1858,1578,290,190,1,1,0,,,,Y,24,0,90,0,0,66
44512,Mexico,1,1843,1868,1887,-44,56,2,0,2,,,,Y,21,90,90,0,0,82
44482,Costa Rica,1,1837,1843,1622,215,315,2,1,1,,,,Y,0,90,90,0,73,78
44479,Panama,-1,1867,1837,1582,285,185,0,1,-1,,,,Y,0,0,45,0,0,45
44476,Jamaica,1,1862,1867,1533,329,429,2,0,2,,,,Y,0,90,83,0,77,77
